userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess
mthain,SumBetween,93,eval_input,2020-02-21 09:07:09,2 0,0,,,,
mthain,SumBetween,94,eval_input,2020-02-21 09:07:10,3 0,0,,,,
mthain,SumBetween,95,eval_input,2020-02-21 09:07:11,4 0,0,,,,
mthain,SumBetween,96,eval_input,2020-02-21 09:07:12,5 0,0,,,,
mthain,SumBetween,97,eval_input,2020-02-21 09:07:13,6 0,0,,,,
mthain,SumBetween,98,eval_input,2020-02-21 09:07:14,7 0,0,,,,
mthain,SumBetween,99,eval_input,2020-02-21 09:07:15,8 0,0,,,,
mthain,SumBetween,100,eval_input,2020-02-21 09:07:16,9 0,0,,,,
mthain,SumBetween,101,eval_input,2020-02-21 09:07:16,0 0,0,,,,
mthain,SumBetween,102,eval_input,2020-02-21 09:07:20,0 0,0,,,,
mthain,SumBetween,103,eval_input,2020-02-21 09:07:24,-1 0,-1,,,,
mthain,SumBetween,104,eval_input,2020-02-21 09:07:26,-1 1,0,,,,
mthain,SumBetween,105,eval_input,2020-02-21 09:07:28,-1 2,2,,,,
mthain,SumBetween,106,eval_input,2020-02-21 09:07:30,-1 3,5,,,,
mthain,SumBetween,107,eval_input,2020-02-21 09:07:31,-1 4,9,,,,
mthain,SumBetween,108,eval_input,2020-02-21 09:07:32,-1 5,14,,,,
mthain,SumBetween,109,eval_input,2020-02-21 09:07:35,-1 6,20,,,,
mthain,SumBetween,110,eval_input,2020-02-21 09:07:38,-2 6,18,,,,
mthain,SumBetween,111,eval_input,2020-02-21 09:07:40,-3 6,15,,,,
mthain,SumBetween,112,eval_input,2020-02-21 09:07:44,-4 6,11,,,,
mthain,SumBetween,113,eval_input,2020-02-21 09:07:45,-5 6,6,,,,
mthain,SumBetween,114,eval_input,2020-02-21 09:07:46,-6 6,0,,,,
mthain,SumBetween,115,eval_input,2020-02-21 09:10:34,-9 -33,0,,,,
mthain,SumBetween,116,eval_input,2020-02-21 09:10:42,12 4,0,,,,
mthain,SumBetween,117,eval_input,2020-02-21 09:11:37,12 -4,0,,,,
mthain,SumBetween,118,eval_input,2020-02-21 09:11:42,12 13,25,,,,
mthain,SumBetween,119,eval_input,2020-02-21 09:11:53,1 2,3,,,,
mthain,SumBetween,120,eval_input,2020-02-21 09:12:00,2 2,2,,,,
mthain,SumBetween,121,eval_input,2020-02-21 09:12:02,3 2,0,,,,
mthain,SumBetween,122,eval_input,2020-02-21 09:12:07,4 2,0,,,,
mthain,SumBetween,123,eval_input,2020-02-21 09:12:08,4 3,0,,,,
mthain,SumBetween,124,eval_input,2020-02-21 09:12:09,4 4,4,,,,
mthain,SumBetween,125,eval_input,2020-02-21 09:12:15,4 0,0,,,,
mthain,SumBetween,126,quiz_answer,2020-02-21 09:17:17,"2,5",14,0,14,true,
mthain,SumBetween,127,quiz_answer,2020-02-21 09:17:21,"5,2",0,1,0,true,
mthain,SumBetween,128,quiz_answer,2020-02-21 09:17:28,"-2,3",0,2,3,false,
mthain,SumBetween,129,quiz_answer,2020-02-21 09:18:15,"2,5",14,0,14,true,
mthain,SumBetween,130,quiz_answer,2020-02-21 09:18:18,"5,2",0,1,0,true,
mthain,SumBetween,131,quiz_answer,2020-02-21 09:18:29,"-2,3",3,2,3,true,
mthain,SumBetween,132,final_answer,2020-02-21 09:18:30,,,,,,noooo give me my answer back. basically fib stuff but ..
mthain,Induced,133,eval_input,2020-02-21 09:19:35,0,0,,,,
mthain,Induced,134,eval_input,2020-02-21 09:19:36,1,0,,,,
mthain,Induced,135,eval_input,2020-02-21 09:19:37,2,1,,,,
mthain,Induced,136,eval_input,2020-02-21 09:19:37,3,3,,,,
