SumParityInt,
152,0.121162280701754
Median,
0,0
1,0
1,0
1,0
1,0
1,0
2,0.5
2,0.125
2,0.25
2,0.1
3,0.166666666666667
3,0.188888888888889
3,0.666666666666667
3,0.15
3,0.488888888888889
3,0.25
4,0.75
4,0.354166666666667
4,0.195833333333333
4,0.5
5,0.8
5,0.28968253968254
5,0.296666666666667
5,0.306666666666667
5,0.533333333333333
6,0.638888888888889
6,0.4
6,0.361111111111111
6,0.619444444444444
7,0.580952380952381
7,0.571428571428571
7,0.419047619047619
7,0.214285714285714
8,0.875
8,0.239583333333333
9,0.396296296296296
9,0.62962962962963
10,0.433333333333333
10,0.384761904761905
10,0.791666666666667
10,0.358333333333333
11,0.50974025974026
11,0.534199134199134
11,0.401515151515152
12,0.475
12,0.411111111111111
12,0.41031746031746
13,0.471062271062271
13,0.675641025641026
13,0.636446886446886
13,0.730769230769231
14,0.565476190476191
14,0.228061224489796
17,0.485294117647059
18,0.421296296296296
19,0.65093984962406
21,0.377137016422731
22,0.616233766233766
22,0.518181818181818
23,0.457246376811594
23,0.534782608695652
23,0.490579710144928
24,0.490873015873016
24,0.547222222222222
26,0.773076923076923
26,0.365384615384615
28,0.551190476190476
32,0.505952380952381
32,0.454129464285714
33,0.318686868686869
36,0.365740740740741
38,0.483771929824561
43,0.448228128460687
51,0.534313725490196
54,0.539814814814815
99,0.577609427609428
137,0.468369829683699
143,0.45058275058275
192,0.350520833333333
201,0.42831082681829
331,0.372195847120318
424,0.448165618448638
SumParityBool,
0,0
1,0
1,0
1,0
2,0
2,0.25
2,0.5
2,0.3125
3,0.333333333333333
4,0.333333333333333
4,0.410714285714286
5,0.256666666666667
5,0.256666666666667
6,0.258333333333333
6,0.341666666666667
6,0.833333333333333
6,0.216666666666667
7,0.542857142857143
7,0.154761904761905
7,0.295238095238095
7,0.654761904761905
7,0.857142857142857
8,0.875
8,0.125
9,0.888888888888889
10,0.751666666666667
10,0.352777777777778
10,0.7
11,0.447835497835498
11,0.475757575757576
11,0.476190476190476
11,0.818181818181818
12,0.475
12,0.354166666666667
13,0.833333333333333
13,0.666666666666667
13,0.247435897435897
13,0.325641025641026
15,0.253968253968254
15,0.4
16,0.372154581529582
16,0.89375
16,0.736458333333333
17,0.558823529411765
18,0.509259259259259
18,0.481481481481482
18,0.475925925925926
19,0.701754385964912
19,0.751754385964912
19,0.671052631578947
19,0.624561403508772
21,0.546031746031746
22,0.659090909090909
22,0.544696969696969
22,0.727272727272727
23,0.623188405797101
24,0.300943963443963
24,0.577777777777778
26,0.306684981684982
26,0.741666666666667
28,0.53171768707483
29,0.707717569786535
30,0.521111111111111
31,0.752688172043011
32,0.50625
32,0.511979166666667
32,0.586458333333333
34,0.617647058823529
38,0.909210526315789
39,0.5
40,0.579880952380953
100,0.507
115,0.878985507246377
120,0.1725
SecondIntoFirstDivisible,
1,0
3,0.444444444444444
5,0.3
9,0.462962962962963
10,0.516666666666667
12,0.597222222222222
12,0.625
15,0.633333333333333
15,0.633333333333333
17,0.617647058823529
17,0.735294117647059
22,0.575757575757576
22,0.621212121212121
22,0.553030303030303
23,0.601449275362319
24,0.652777777777778
24,0.673611111111111
25,0.56
26,0.564102564102564
27,0.617283950617284
27,0.58641975308642
28,0.636904761904762
28,0.56547619047619
31,0.612903225806452
33,0.616161616161616
36,0.652777777777778
37,0.576576576576577
37,0.612612612612613
44,0.632575757575758
44,0.602272727272728
48,0.552083333333334
52,0.58974358974359
58,0.660919540229885
62,0.610215053763441
64,0.653645833333333
67,0.659203980099502
68,0.659313725490196
73,0.636986301369863
82,0.565040650406504
84,0.640873015873015
87,0.634099616858237
105,0.638095238095238
FirstIntoSecondDivisible,
4,0.375
4,0.583333333333333
6,0.472222222222222
6,0.611111111111111
9,0.574074074074074
11,0.53030303030303
11,0.46969696969697
12,0.597222222222222
13,0.538461538461538
13,0.525641025641026
13,0.653846153846154
14,0.607142857142857
15,0.677777777777778
15,0.622222222222222
15,0.522222222222222
18,0.601851851851852
19,0.622807017543859
19,0.570175438596491
20,0.65
22,0.643939393939394
23,0.58695652173913
26,0.641025641025641
28,0.660714285714286
30,0.65
30,0.627777777777778
32,0.583333333333333
33,0.565656565656566
33,0.656565656565657
37,0.666666666666667
40,0.6375
40,0.704166666666667
46,0.677536231884058
50,0.676666666666667
55,0.660606060606061
64,0.630208333333333
64,0.645833333333333
70,0.654761904761904
73,0.625570776255708
84,0.634920634920634
206,0.640776699029127
