SumParityInt,
7,0.30952380952381
7,0.376190476190476
7,0.464285714285714
8,0.354166666666667
8,0.502083333333333
8,0.354166666666667
8,0.44375
8,0.4875
8,0.391666666666667
8,0.375
8,0
9,0.527777777777778
9,0.644444444444444
9,0.444444444444444
9,0.437037037037037
10,0.391666666666667
10,0.438333333333333
10,0.366666666666667
11,0.462121212121212
12,0.375
12,0.479166666666667
12,0.427777777777778
13,0.462820512820513
13,0.420512820512821
13,0.407692307692308
14,0.471428571428571
14,0.485714285714286
15,0.461111111111111
16,0.427083333333333
16,0.45625
17,0.429411764705882
18,0.468518518518519
19,0.498245614035088
21,0.498412698412698
22,0.478030303030303
22,0.03030303030303
22,0.478030303030303
23,0.460144927536232
27,0.454320987654321
30,0.463333333333333
34,0.529411764705882
37,0.438288288288288
44,0.481439393939394
48,0.482638888888889
81,0.467901234567901
